Country,Year-Month,New_Confirmed,New_Deaths,New_Recovered,Total_Confirmed(new+previous)
Argentina,01-12-2021,323660,580,0,5654408
Argentina,01-01-2022,2724248,4104,0,8378656
Argentina,01-02-2022,522000,4879,0,8900656
Argentina,01-03-2022,137255,1867,0,9037911
Argentina,01-04-2022,22584,325,0,9060495
Armenia,01-01-2020,0,0,0,0
Armenia,01-02-2020,0,0,0,0
Armenia,01-03-2020,532,3,30,532
Armenia,01-04-2020,1534,29,899,2066
Armenia,01-05-2020,7216,99,2457,9282
Armenia,01-06-2020,16260,312,10662,25542
Armenia,01-07-2020,13008,295,14949,38550
Armenia,01-08-2020,5231,141,8725,43781
Armenia,01-09-2020,6578,80,6279,50359
Armenia,01-10-2020,39454,382,11316,89813
Armenia,01-11-2020,45311,823,53125,135124
Armenia,01-12-2020,24285,659,34359,159409
Armenia,01-01-2021,7617,257,14718,167026
Armenia,01-02-2021,5032,112,5875,172058
Armenia,01-03-2021,20581,323,9670,192639
Armenia,01-04-2021,23425,593,25071,216064
Armenia,01-05-2021,6606,330,15073,222670
Armenia,01-06-2021,2425,76,3570,225095
Armenia,01-07-2021,5015,100,3086,230110
Armenia,01-08-2021,12025,230,574,242135
Armenia,01-09-2021,19562,475,0,261697
Armenia,01-10-2021,46629,1009,0,308326
Armenia,01-11-2021,30192,1239,0,338518
Armenia,01-12-2021,6412,407,0,344930
Armenia,01-01-2022,22865,81,0,367795
Armenia,01-02-2022,52037,408,0,419832
Armenia,01-03-2022,2687,152,0,422519
Armenia,01-04-2022,228,8,0,422747
Australia,01-01-2020,9,0,2,9
Australia,01-02-2020,16,0,9,25
Australia,01-03-2020,4534,18,347,4559
Australia,01-04-2020,2207,75,5384,6766
Australia,01-05-2020,436,10,879,7202
Australia,01-06-2020,718,2,422,7920
Australia,01-07-2020,9360,97,2949,17280
Australia,01-08-2020,8539,456,11143,25819
Australia,01-09-2020,1277,231,3299,27096
Australia,01-10-2020,499,19,533,27595
Australia,01-11-2020,317,1,232,27912
Australia,01-12-2020,513,1,145,28425
Australia,01-01-2021,393,0,240,28818
Australia,01-02-2021,160,0,104,28978
Australia,01-03-2021,344,0,103,29322
Australia,01-04-2021,489,1,282,29811
Australia,01-05-2021,307,0,289,30118
Australia,01-06-2021,525,0,228,30643
Australia,01-07-2021,3740,15,282,34383
Australia,01-08-2021,20710,89,110,55093
Australia,01-09-2021,52088,299,0,107181
Australia,01-10-2021,64849,432,0,172030
Australia,01-11-2021,39625,268,0,211655
Australia,01-12-2021,213841,242,0,425496
Australia,01-01-2022,2181746,1582,0,2580386
Australia,01-02-2022,657205,1375,0,3235017
Australia,01-03-2022,1338049,798,0,4573066
Australia,01-04-2022,811549,771,0,5384615
Austria,01-01-2020,0,0,0,0
Austria,01-02-2020,9,0,0,9
Austria,01-03-2020,10171,128,1100,10180
Austria,01-04-2020,5272,456,11812,15452
Austria,01-05-2020,1279,84,2686,16731
Austria,01-06-2020,1035,37,885,17766
Austria,01-07-2020,3364,14,2280,21130
Austria,01-08-2020,6308,15,4468,27438
Austria,01-09-2020,17375,66,12418,44813
Austria,01-10-2020,60112,311,31582,104925
Austria,01-11-2020,177531,2075,154466,282456
Austria,01-12-2020,78359,3038,111260,360815
Austria,01-01-2021,53583,1499,59545,414398
Austria,01-02-2021,45042,840,37918,459440
Austria,01-03-2021,86789,778,70701,546229
Austria,01-04-2021,72641,866,83661,618870
Austria,01-05-2021,25945,398,44079,644815
Austria,01-06-2021,5597,101,9575,650412
Austria,01-07-2021,8644,35,5276,659056
Austria,01-08-2021,29249,45,1361,688305
Austria,01-09-2021,54790,237,0,743095
Austria,01-10-2021,87886,348,0,830981
Austria,01-11-2021,329014,1135,0,1159995
Austria,01-12-2021,118624,1241,0,1278619
